SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,COMPANY,NAME OF THE ACQUIRER/DISPOSER,VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT),PROMOTER & PROMOTER GROUP (A),MARKET,SERIES,SECURITY,PREV_CL_PR
SANGAMIND,,,,,Sangam (India) Limited,Sangam (India) Limited Employees Welfare Trust,3826558,Buy,,70.16,,,,
SANGAMIND,,,,,Sangam (India) Limited,Sangam (India) Limited Employees Welfare Trust,7022104,Buy,,70.16,,,,
SANGAMIND,,,,,Sangam (India) Limited,Sangam (India) Limited Employees Welfare Trust,8695755,Buy,,70.16,,,,
SANGAMIND,,,,,Sangam (India) Limited,Sangam (India) Limited Employees Welfare Trust,21631863,Buy,,70.16,,,,
SANGINITA,,,,,Sanginita Chemicals Limited,Sanginita Industries LLP,1050000,Sell,,,,,,
SANGINITA,,,,,Sanginita Chemicals Limited,Dineshsinh B. Chavada,2100000,Sell,,,,,,
SANGINITA,,,,,Sanginita Chemicals Limited,Dineshsinh B. Chavada,2046000,Sell,,,,,,
SANGINITA,,,,,Sanginita Chemicals Limited,Sanginita Industries LLP,1020000,Sell,,,,,,
SANGINITA,,,,,Sanginita Chemicals Limited,Dineshsinh B. Chavada,1500000,Sell,,,,,,
SANGINITA,,,,,Sanginita Chemicals Limited,Sanginita Industries LLP,1500000,Sell,,,,,,
SANGINITA,,,,,Sanginita Chemicals Limited,Dineshsinh B. Chavada,2000000,Sell,,,,,,
SANGINITA,,,,,Sanginita Chemicals Limited,Sanginita Industries LLP,2010000,Sell,,,,,,
SANGINITA,,,,,Sanginita Chemicals Limited,Sanginita Industries LLP,1010150,Sell,,,,,,
SANGINITA,,,,,Sanginita Chemicals Limited,Dineshsinh B. Chavada,1950000,Sell,,,,,,
SANGINITA,,,,,Sanginita Chemicals Limited,Sanginita Industries LLP,1950000,Sell,,,,,,
SANGINITA,,,,,Sanginita Chemicals Limited,Dineshsinh B. Chavada,1567500,Sell,,,,,,
SANGINITA,,,,,Sanginita Chemicals Limited,Sanginita Industries LLP,1567500,Sell,,,,,,
SANGINITA,,,,,Sanginita Chemicals Limited,Dineshsinh B. Chavada,951000,Sell,,,,,,
SANGINITA,,,,,Sanginita Chemicals Limited,Sanginita Industries LLP,1519800,Sell,,,,,,
SANGINITA,,,,,Sanginita Chemicals Limited,Dineshsinh B. Chavada,1108700,Sell,,,,,,
SAPPHIRE,,,,,Sapphire Foods India Limited,BALKRISHNA CHATURVEDI,5869386,Pledge Revoke,,26.07,,,,
SAPPHIRE,,,,,Sapphire Foods India Limited,BALKRISHNA CHATURVEDI,5856151,Sell,,26.07,,,,
SAPPHIRE,,,,,Sapphire Foods India Limited,SARMISTHA MADURI,1998741,Sell,,26.07,,,,
SAPPHIRE,,,,,Sapphire Foods India Limited,Vikas Sadanand Gawade,1074117,Sell,,26.07,,,,
SARDAEN,,,,,Sarda Energy & Minerals Limited,Saurabh Rathi,0,Buy,,73.16,,,,
